Gene_Product,In_WildYak,In_Takin,In_WaterBuffalo
DENN domain-containing protein 5A isoform X2,True,True,True
C-C motif chemokine 4,True,True,True
zinc finger protein 62 homolog isoform X1,True,True,True
E3 ubiquitin-protein ligase RNF26,True,True,True
kinesin-like protein KIF19,True,True,True
M-phase phosphoprotein 8 isoform X2,True,True,True
sodium/nucleoside cotransporter 2,True,True,True
stonin-2 isoform X3,True,True,True
inositol polyphosphate 5-phosphatase K isoform X3,True,True,True
ER membrane protein complex subunit 8,True,True,True
mitochondrial ubiquitin ligase activator of NFKB 1,True,True,True
"beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 7",True,True,True
leiomodin-1,True,True,True
A-kinase anchor protein 12 isoform X2,True,True,True
transmembrane and ubiquitin-like domain-containing protein 2 isoform X1,True,True,True
band 4.1-like protein 2 isoform X5,True,True,True
ras-related protein Rap-1b,True,True,True
keratinocyte proline-rich protein,True,True,True
apolipoprotein A-V,True,True,True
putative transmembrane protein INAFM2,True,True,True
zinc finger protein 821 isoform X3,True,True,True
poly(rC)-binding protein 4 isoform X2,True,True,True
insulin receptor isoform X3,True,True,True
nucleosome assembly protein 1-like 4 isoform X1,True,True,True
scrapie-responsive protein 1,True,True,True
carbonic anhydrase 2,True,True,True
ankyrin repeat and SAM domain-containing protein 3 isoform X2,True,True,True
carbonic anhydrase 3,True,True,True
exosome complex component RRP41,True,True,True
small integral membrane protein 7 isoform X2,True,True,True
vesicle-associated membrane protein 8,True,True,True
periplakin isoform X1,True,True,True
ras GTPase-activating protein 4B,True,True,True
zinc finger protein PLAGL1 isoform X1,True,True,True
PGC-1 and ERR-induced regulator in muscle protein 1,True,True,True
transcription factor Sp1 isoform X3,True,True,True
probable helicase with zinc finger domain isoform X1,True,True,True
serine/arginine repetitive matrix protein 1 isoform X5,True,True,True
core-binding factor subunit beta isoform X2,True,True,True
"electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial isoform X2",True,True,True
BLOC-1-related complex subunit 6,True,True,True
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha,True,True,True
COP9 signalosome complex subunit 1 isoform X2,True,True,True
eukaryotic translation initiation factor 4B isoform X2,True,True,True
inactive ubiquitin carboxyl-terminal hydrolase MINDY-4B,True,True,True
phosphatidylinositol N-acetylglucosaminyltransferase subunit H isoform X1,True,True,True
dysferlin isoform X12,True,True,True
F-actin-monooxygenase MICAL2 isoform X2,True,True,True
RAB6-interacting golgin,True,True,True
"serine--tRNA ligase, cytoplasmic",True,True,True
receptor-type tyrosine-protein phosphatase alpha isoform X3,True,True,True
unconventional myosin-XVIIIa isoform X9,True,True,True
interleukin-17 receptor C isoform X7,True,True,True
actin-like protein 9,True,True,True
zinc finger and SCAN domain-containing protein 10,True,True,True
max-like protein X isoform X2,True,True,True
rho guanine nucleotide exchange factor 40 isoform X3,True,True,True
ETS-related transcription factor Elf-2 isoform X5,True,True,True
cytosolic purine 5'-nucleotidase isoform X2,True,True,True
ubiquitin carboxyl-terminal hydrolase 40 isoform X1,True,True,True
kallikrein-7,True,True,True
transport and Golgi organization protein 1 homolog isoform X1,True,True,True
R3H domain-containing protein 2 isoform X5,True,True,True
HMG box-containing protein 1 isoform X2,True,True,True
vesicle-associated membrane protein 7 isoform X2,True,True,True
jerky protein homolog-like,True,True,True
frizzled-8,True,True,True
solute carrier family 15 member 3,True,True,True
cofilin-1,True,True,True
"high affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B isoform X2",True,True,True
developmentally-regulated GTP-binding protein 2,True,True,True
14-3-3 protein eta,True,True,True
"ornithine transcarbamylase, mitochondrial",True,True,True
G-protein coupled receptor 151,True,True,True
mediator of RNA polymerase II transcription subunit 23 isoform X2,True,True,True
neuronal vesicle trafficking-associated protein 1,True,True,True
hepatocyte nuclear factor 6,True,True,True
pre-mRNA 3'-end-processing factor FIP1 isoform X7,True,True,True
protein FAM193B isoform X2,True,True,True
suppressor of tumorigenicity 7 protein isoform X2,True,True,True
coronin-2B isoform X1,True,True,True
dysferlin isoform X9,True,True,True
protein FAM219A isoform X2,True,True,True
"histone-lysine N-methyltransferase, H3 lysine-79 specific isoform X7",True,True,True
protein lifeguard 2,True,True,True
probable E3 ubiquitin-protein ligase DTX2 isoform X1,True,True,True
diacylglycerol kinase epsilon,True,True,True
sestrin-3,True,True,True
oxysterol-binding protein-related protein 6 isoform X4,True,True,True
small G protein signaling modulator 2 isoform X2,True,True,True
zinc finger protein 329,True,True,True
ATP-dependent RNA helicase DDX3X isoform X2,True,True,True
nuclear factor 1 C-type isoform X1,True,True,True
glucocorticoid receptor isoform X2,True,True,True
homeobox protein notochord,True,True,True
protein AMN1 homolog isoform X1,True,True,True
biglycan,True,True,True
transducin-like enhancer protein 1 isoform X3,True,True,True
adrenocortical dysplasia protein homolog isoform X3,True,True,True
katanin p60 ATPase-containing subunit A1,True,True,True
nuclear receptor coactivator 6 isoform X1,True,True,True
calcium-activated potassium channel subunit alpha-1 isoform X1,True,True,True
tyrosine-protein phosphatase non-receptor type 11 isoform X2,True,True,True
smoothelin isoform X3,True,True,True
"serine/threonine-protein phosphatase PGAM5, mitochondrial isoform X1",True,True,True
nuclear receptor ROR-gamma isoform X2,True,True,True
nuclear factor NF-kappa-B p105 subunit isoform X1,True,True,True
bifunctional apoptosis regulator,True,True,True
cytoplasmic polyadenylation element-binding protein 2 isoform X1,True,True,True
plasma protease C1 inhibitor,True,True,True
DCC-interacting protein 13-beta isoform X1,True,True,True
thrombospondin-type laminin G domain and EAR repeat-containing protein,True,True,True
protein RER1,True,True,True
carbonic anhydrase 14 isoform X1,True,True,True
histone-lysine N-methyltransferase KMT5C isoform X1,True,True,True
endothelial PAS domain-containing protein 1,True,True,True
ataxin-1-like,True,True,True
leukosialin,True,True,True
protein lin-52 homolog isoform X1,True,True,True
pleckstrin homology domain-containing family H member 3 isoform X3,True,True,True
cystinosin,True,True,True
"N-alpha-acetyltransferase 15, NatA auxiliary subunit isoform X1",True,True,True
ribosyldihydronicotinamide dehydrogenase [quinone] isoform X2,True,True,True
rap guanine nucleotide exchange factor 1 isoform X1,True,True,True
pogo transposable element with ZNF domain isoform X2,True,True,True
"branched-chain-amino-acid aminotransferase, mitochondrial isoform X2",True,True,True
chromosome transmission fidelity protein 8 homolog,True,True,True
dystrobrevin alpha isoform X4,True,True,True
scavenger receptor class A member 3 isoform X1,True,True,True
nuclear receptor coactivator 1 isoform X2,True,True,True
MAP7 domain-containing protein 1 isoform X2,True,True,True
profilin-2 isoform X1,True,True,True
neuropilin-2 isoform X1,True,True,True
claudin-2,True,True,True
YEATS domain-containing protein 2 isoform X1,True,True,True
ubiquitin carboxyl-terminal hydrolase CYLD isoform X1,True,True,True
peroxisomal acyl-coenzyme A oxidase 1 isoform X1,True,True,True
acetylcholinesterase collagenic tail peptide isoform X2,True,True,True
stromal cell-derived factor 1 isoform X2,True,True,True
protein cornichon homolog 1,True,True,True
GPN-loop GTPase 2,True,True,True
F-actin-capping protein subunit alpha-1,True,True,True
vasopressin V1b receptor,True,True,True
probable E3 ubiquitin-protein ligase TRIML2,True,True,True
lysozyme g-like protein 2,True,True,True
trafficking protein particle complex subunit 9 isoform X1,True,True,True
THAP domain-containing protein 7,True,True,True
arginine/serine-rich protein PNISR isoform X2,True,True,True
programmed cell death 6-interacting protein isoform X1,True,True,True
keratinocyte differentiation factor 1,True,True,True
V-set and transmembrane domain-containing protein 2-like protein,True,True,True
"RNA-binding motif, single-stranded-interacting protein 1 isoform X1",True,True,True
tyrosine-protein kinase RYK isoform X2,True,True,True
CD70 antigen,True,True,True
alpha-enolase isoform X1,True,True,True
microtubule-associated proteins 1A/1B light chain 3B,True,True,True
E3 ubiquitin-protein ligase CCNB1IP1,True,True,True
unconventional myosin-Vc,True,True,True
RNA-binding protein 39 isoform X2,True,True,True
DENN domain-containing protein 1A isoform X2,True,True,True
interferon regulatory factor 2-binding protein 2 isoform X2,True,True,True
neurogenin-2,True,True,True
cadherin-16,True,True,True
KAT8 regulatory NSL complex subunit 3 isoform X8,True,True,True
"splicing factor, arginine/serine-rich 19 isoform X1",True,True,True
serpin H1,True,True,True
WD repeat-containing protein 11 isoform X1,True,True,True
ATP-dependent (S)-NAD(P)H-hydrate dehydratase isoform X3,True,True,True
N-alpha-acetyltransferase 40,True,True,True
transketolase-like protein 2,True,True,True
LOW QUALITY PROTEIN: nucleosome assembly protein 1-like 3,True,True,True
inositol hexakisphosphate kinase 1 isoform X1,True,True,True
YEATS domain-containing protein 2 isoform X4,True,True,True
nucleotide-binding oligomerization domain-containing protein 1 isoform X2,True,True,True
inositol polyphosphate 5-phosphatase OCRL isoform X1,True,True,True
N-lysine methyltransferase KMT5A isoform X3,True,True,True
cAMP-dependent protein kinase inhibitor gamma,True,True,True
receptor tyrosine-protein kinase erbB-3,True,True,True
complement factor I,True,True,True
delta-1-pyrroline-5-carboxylate synthase isoform X2,True,True,True
uncharacterized protein CXorf38 homolog isoform X2,True,True,True
U3 small nucleolar RNA-associated protein 18 homolog,True,True,True
gasdermin-D isoform X1,True,True,True
arylsulfatase J,True,True,True
carbohydrate sulfotransferase 8,True,True,True
E3 SUMO-protein ligase PIAS3 isoform X2,True,True,True
zinc finger protein 518A,True,True,True
eukaryotic translation initiation factor 5,True,True,True
cilia- and flagella-associated protein 157,True,True,True
enamelin,True,True,True
peptidyl-glycine alpha-amidating monooxygenase isoform X7,True,True,True
sodium channel modifier 1 isoform X3,True,True,True
histone H2B type 1-C/E/F/G/I,True,True,True
RNA-binding protein 28,True,True,True
suppressor of cytokine signaling 3,True,True,True
syntaxin-16 isoform X3,True,True,True
histone-lysine N-methyltransferase EHMT1 isoform X2,True,True,True
transmembrane protein 161A isoform X1,True,True,True
5'-AMP-activated protein kinase subunit gamma-3 isoform X1,True,True,True
otoraplin,True,True,True
single-stranded DNA-binding protein 4 isoform X2,True,True,True
transcription factor 7-like 2 isoform X5,True,True,True
RAB6A-GEF complex partner protein 2 isoform X2,True,True,True
LOW QUALITY PROTEIN: interferon-induced very large GTPase 1-like,True,True,True
ferritin heavy chain,True,True,True
ralBP1-associated Eps domain-containing protein 1 isoform X1,True,True,True
RNA-binding protein 6 isoform X1,True,True,True
RNA-binding protein 3 isoform X1,True,True,True
kinesin-like protein KIFC3 isoform X1,True,True,True
mitochondrial glycine transporter isoform X1,True,True,True
scavenger receptor class A member 5,True,True,True
cholinesterase,True,True,True
peroxisome proliferator-activated receptor gamma coactivator-related protein 1 isoform X2,True,True,True
coiled-coil domain-containing glutamate-rich protein 1,True,True,True
potassium voltage-gated channel subfamily A member 10,True,True,True
polyadenylate-binding protein-interacting protein 1 isoform X1,True,True,True
synaptonemal complex protein 3,True,True,True
protein odd-skipped-related 2 isoform X1,True,True,True
cell cycle control protein 50B,True,True,True
epidermal growth factor receptor substrate 15 isoform X5,True,True,True
"stomatin-like protein 2, mitochondrial",True,True,True
gastrokine-1,True,True,True
ankyrin repeat domain-containing protein 35,True,True,True
transmembrane emp24 domain-containing protein 1,True,True,True
band 4.1-like protein 2 isoform X4,True,True,True
UDP-N-acetylhexosamine pyrophosphorylase-like protein 1,True,True,True
NADH dehydrogenase subunit 6,True,True,True
SEC23-interacting protein isoform X1,True,True,True
insulin receptor isoform X1,True,True,True
phosphatidylinositol-binding clathrin assembly protein isoform X5,True,True,True
nuclear receptor corepressor 2 isoform X5,True,True,True
taste receptor type 2 member 4,True,True,True
meiosis regulator and mRNA stability factor 1 isoform X2,True,True,True
neural cell adhesion molecule 1 isoform X2,True,True,True
calcium/calmodulin-dependent protein kinase kinase 2 isoform X2,True,True,True
NF-kappa-B inhibitor beta,True,True,True
core histone macro-H2A.1 isoform X1,True,True,True
aspartoacylase,True,True,True
N-acetylaspartate synthetase,True,True,True
metalloreductase STEAP4,True,True,True
SET and MYND domain-containing protein 4 isoform X3,True,True,True
cytohesin-3 isoform X1,True,True,True
chromatin target of PRMT1 protein isoform X5,True,True,True
endomucin isoform X1,True,True,True
epididymal secretory glutathione peroxidase,True,True,True
ER membrane protein complex subunit 1 isoform X2,True,True,True
septin-9 isoform X1,True,True,True
merlin isoform X2,True,True,True
PDZ and LIM domain protein 7 isoform X1,True,True,True
protein phosphatase Slingshot homolog 3 isoform X1,True,True,True
nuclear receptor corepressor 2 isoform X4,True,True,True
glycogen synthase kinase-3 beta isoform X2,True,True,True
spastin isoform X3,True,True,True
copper homeostasis protein cutC homolog isoform X3,True,True,True
homeobox protein MIXL1,True,True,True
TIP41-like protein isoform X2,True,True,True
MAP kinase-activating death domain protein isoform X17,True,True,True
neuronal pentraxin receptor,True,True,True
cytosolic arginine sensor for mTORC1 subunit 1 isoform X3,True,True,True
LOW QUALITY PROTEIN: ATP-binding cassette sub-family C member 4-like,True,True,True
activated CDC42 kinase 1 isoform X6,True,True,True
WD repeat-containing protein 7 isoform X3,True,True,True
vesicle-associated membrane protein-associated protein A isoform X1,True,True,True
LOW QUALITY PROTEIN: probable ATP-dependent RNA helicase DDX60,True,True,True
cell cycle checkpoint control protein RAD9A isoform X1,True,True,True
transcriptional adapter 2-alpha isoform X2,True,True,True
probable phospholipid-transporting ATPase IIA isoform X2,True,True,True
AMSH-like protease isoform X1,True,True,True
actin-like protein 8,True,True,True
integrin alpha-7 isoform X4,True,True,True
myotilin isoform X1,True,True,True
pumilio homolog 1 isoform X2,True,True,True
tetraspanin-17 isoform X1,True,True,True
cadherin-11,True,True,True
tight junction protein ZO-1 isoform X4,True,True,True
E3 ubiquitin-protein ligase MSL2,True,True,True
RAD51-associated protein 1,True,True,True
lysine-specific demethylase 2A isoform X2,True,True,True
transcriptional coactivator YAP1 isoform X4,True,True,True
WD repeat-containing protein 13 isoform X1,True,True,True
gasdermin-A,True,True,True
protein Njmu-R1,True,True,True
zinc finger protein 689,True,True,True
G0/G1 switch protein 2,True,True,True
urocortin-2,True,True,True
oxysterol-binding protein-related protein 7,True,True,True
podocalyxin,True,True,True
cyclic AMP-dependent transcription factor ATF-4,True,True,True
protein tyrosine phosphatase type IVA 3,True,True,True
olfactory receptor 8A1,True,True,True
melanoma-associated antigen D4 isoform X2,True,True,True
zinc finger protein GLIS1,True,True,True
CCR4-NOT transcription complex subunit 1 isoform X3,True,True,True
"oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial",True,True,True
fibroblast growth factor 19,True,True,True
protein LSM14 homolog A isoform X3,True,True,True
protein CMSS1 isoform X2,True,True,True
reticulon-4 receptor-like 1,True,True,True
BMP-2-inducible protein kinase isoform X2,True,True,True
G kinase-anchoring protein 1 isoform X2,True,True,True
EH domain-binding protein 1-like protein 1 isoform X2,True,True,True
transmembrane protein 88,True,True,True
endoribonuclease Dicer isoform X1,True,True,True
sialidase-2,True,True,True
zinc finger protein 821 isoform X1,True,True,True
"troponin T, fast skeletal muscle isoform X1",True,True,True
calpain-3 isoform X1,True,True,True
eyes absent homolog 1 isoform X1,True,True,True
"malonyl-CoA-acyl carrier protein transacylase, mitochondrial",True,True,True
zinc finger protein 428,True,True,True
G-protein coupled receptor 183,True,True,True
short transient receptor potential channel 4-associated protein isoform X2,True,True,True
probable G-protein coupled receptor 173,True,True,True
probable transmembrane reductase CYB561D1 isoform X1,True,True,True
KN motif and ankyrin repeat domain-containing protein 1 isoform X4,True,True,True
proton-coupled folate transporter,True,True,True
structural maintenance of chromosomes protein 3,True,True,True
sialate O-acetylesterase isoform X1,True,True,True
SPRY domain-containing SOCS box protein 4,True,True,True
four and a half LIM domains protein 3,True,True,True
prolyl endopeptidase-like isoform X1,True,True,True
protein adenylyltransferase FICD isoform X2,True,True,True
E3 ubiquitin-protein ligase TRIM4,True,True,True
periphilin-1 isoform X3,True,True,True
phosphofurin acidic cluster sorting protein 2 isoform X2,True,True,True
phospholipase A and acyltransferase 5,True,True,True
fibronectin isoform X5,True,True,True
spartin,True,True,True
probable ATP-dependent RNA helicase DDX47,True,True,True
MICOS complex subunit MIC60 isoform X4,True,True,True
charged multivesicular body protein 2a,True,True,True
olfactory receptor 52J3,True,True,True
tetratricopeptide repeat protein 17 isoform X1,True,True,True
uncharacterized protein MISP3,True,True,True
polyhomeotic-like protein 1 isoform X2,True,True,True
protein monoglycylase TTLL8,True,True,True
fasciculation and elongation protein zeta-2 isoform X1,True,True,True
zinc finger protein 69 homolog isoform X2,True,True,True
protein HIRA isoform X1,True,True,True
fat storage-inducing transmembrane protein 1,True,True,True
leucine-rich repeat-containing protein 69,True,True,True
peroxiredoxin-like 2A isoform X2,True,True,True
polyadenylate-binding protein 1-like 2,True,True,True
regulator of G-protein signaling 3 isoform X2,True,True,True
histone H2B type 1-B,True,True,True
E3 ubiquitin-protein ligase RNF216 isoform X2,True,True,True
protocadherin-20,True,True,True
fizzy-related protein homolog isoform X1,True,True,True
protein zer-1 homolog isoform X1,True,True,True
transcription initiation factor TFIID subunit 3 isoform X1,True,True,True
sarcolemmal membrane-associated protein isoform X6,True,True,True
protein O-glucosyltransferase 1,True,True,True
leucine-rich repeat flightless-interacting protein 1 isoform X5,True,True,True
nuclear receptor coactivator 6 isoform X4,True,True,True
bromodomain-containing protein 1 isoform X2,True,True,True
microtubule-associated protein tau isoform X4,True,True,True
olfactory receptor 4F21-like,True,True,True
rho GTPase-activating protein 7 isoform X3,True,True,True
regulator of G-protein signaling 3 isoform X1,True,True,True
zinc finger CCCH domain-containing protein 7A,True,True,True
epsin-2 isoform X5,True,True,True
folliculin-interacting protein 2 isoform X5,True,True,True
matrin-3 isoform X3,True,True,True
general transcription factor IIF subunit 1,True,True,True
zinc transporter ZIP1 isoform X1,True,True,True
adenine DNA glycosylase isoform X1,True,True,True
H2.0-like homeobox protein,True,True,True
serine protease 38,True,True,True
UAP56-interacting factor,True,True,True
transmembrane protein 8B isoform X2,True,True,True
ataxin-7-like protein 2 isoform X2,True,True,True
lysine-specific demethylase 5C isoform X4,True,True,True
anamorsin isoform X2,True,True,True
plasminogen activator inhibitor 1,True,True,True
ATP-sensitive inward rectifier potassium channel 11,True,True,True
acyl-CoA-binding domain-containing protein 4 isoform X2,True,True,True
"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial",True,True,True
xaa-Pro dipeptidase,True,True,True
putative olfactory receptor 8G2,True,True,True
secretoglobin family 3A member 2,True,True,True
olfactory receptor 2W1-like,True,True,True
EVI5-like protein isoform X3,True,True,True
paired mesoderm homeobox protein 2A,True,True,True
trafficking protein particle complex subunit 13 isoform X1,True,True,True
cleavage and polyadenylation specificity factor subunit 4 isoform X3,True,True,True
eukaryotic translation initiation factor 3 subunit D isoform X1,True,True,True
serine/arginine-rich splicing factor 7 isoform X2,True,True,True
RNA-binding protein MEX3D,True,True,True
uncharacterized protein C5orf52 homolog,True,True,True
run domain Beclin-1-interacting and cysteine-rich domain-containing protein isoform X5,True,True,True
antigen WC1.1-like,True,True,True
transcription factor SPT20 homolog isoform X5,True,True,True
serine palmitoyltransferase 1 isoform X2,True,True,True
zinc finger protein 200,True,True,True
kallikrein-9,True,True,True
involucrin,True,True,True
SWI/SNF complex subunit SMARCC2 isoform X6,True,True,True
UDP-N-acetylhexosamine pyrophosphorylase isoform X2,True,True,True
RNA-binding protein 26 isoform X3,True,True,True
SERTA domain-containing protein 1,True,True,True
ubiquitin carboxyl-terminal hydrolase 28 isoform X2,True,True,True
serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,True,True,True
histone-lysine N-methyltransferase SMYD1 isoform X2,True,True,True
WD repeat-containing protein 88,True,True,True
nuclear factor 1 C-type isoform X4,True,True,True
alpha-globin transcription factor CP2 isoform X2,True,True,True
forkhead box protein D2,True,True,True
proteinase-activated receptor 3,True,True,True
general vesicular transport factor p115 isoform X1,True,True,True
olfactory receptor 11A1-like,True,True,True
ATP-sensitive inward rectifier potassium channel 14,True,True,True
protein FAM53C,True,True,True
liprin-beta-1 isoform X2,True,True,True
prostaglandin reductase 1,True,True,True
"arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3 isoform X1",True,True,True
kelch-like ECH-associated protein 1,True,True,True
transmembrane protein 203,True,True,True
LOW QUALITY PROTEIN: DCN1-like protein 2,True,True,True
ketosamine-3-kinase isoform X2,True,True,True
protein lin-28 homolog A,True,True,True
ADP-ribosylation factor-like protein 14,True,True,True
ras association domain-containing protein 9,True,True,True
protein O-mannosyl-transferase 1 isoform X2,True,True,True
MMS19 nucleotide excision repair protein homolog isoform X1,True,True,True
cubilin,True,True,True
von Willebrand factor A domain-containing protein 1,True,True,True
leucine-rich repeat and transmembrane domain-containing protein 2,True,True,True
terminal nucleotidyltransferase 5C,True,True,True
uncharacterized protein C11orf24 homolog,True,True,True
cleavage and polyadenylation specificity factor subunit 6 isoform X2,True,True,True
transcription factor SPT20 homolog isoform X7,True,True,True
RNA-binding protein 39 isoform X4,True,True,True
nurim,True,True,True
RNA binding protein fox-1 homolog 2 isoform X2,True,True,True
tektin-4,True,True,True
rho guanine nucleotide exchange factor 7 isoform X3,True,True,True
ELAV-like protein 1,True,True,True
IQ domain-containing protein E isoform X1,True,True,True
core histone macro-H2A.1 isoform X3,True,True,True
surfeit locus protein 2,True,True,True
SLIT-ROBO Rho GTPase-activating protein 2 isoform X1,True,True,True
lysyl oxidase homolog 3 isoform X2,True,True,True
jmjC domain-containing protein 8 isoform X1,True,True,True
"D-beta-hydroxybutyrate dehydrogenase, mitochondrial isoform X2",True,True,True
integrator complex subunit 3,True,True,True
solute carrier organic anion transporter family member 2B1 isoform X1,True,True,True
